epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,274.938,1.11026,0.80426,1.06037,0.96673,0.97467,0.98341,0.68947,1.02098,0.55976,1.01162,0.00269506,0.000898355,0.00269506,0.000898355,0.00269506,0.000898355,0.00269506,0.000898355
31,283.907,1.07161,0.79365,1.05865,0.95939,0.97489,0.98129,0.68564,1.0335,0.57841,1.01577,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
32,292.813,1.10032,0.7975,1.07426,0.95976,0.9788,0.98263,0.69297,1.01286,0.56502,1.00592,0.00265107,0.000883689,0.00265107,0.000883689,0.00265107,0.000883689,0.00265107,0.000883689
33,301.755,1.12028,0.80876,1.07617,0.96844,0.97744,0.98352,0.6804,1.03681,0.56187,1.01928,0.00262907,0.000876357,0.00262907,0.000876357,0.00262907,0.000876357,0.00262907,0.000876357
34,310.724,1.08137,0.80112,1.07692,0.96183,0.97123,0.98293,0.68821,1.01033,0.5668,1.00949,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
35,319.645,1.09589,0.78972,1.07022,0.9646,0.97191,0.98087,0.67691,1.02987,0.57294,1.01765,0.00258507,0.000861692,0.00258507,0.000861692,0.00258507,0.000861692,0.00258507,0.000861692
36,328.563,1.11047,0.80463,1.09202,0.96116,0.97081,0.98106,0.68747,1.01414,0.55925,1.00701,0.00256308,0.000854359,0.00256308,0.000854359,0.00256308,0.000854359,0.00256308,0.000854359
37,337.544,1.10043,0.7813,1.06953,0.96314,0.96893,0.98097,0.6948,1.02154,0.55718,1.00671,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
38,346.449,1.09337,0.77319,1.06717,0.96217,0.97039,0.98099,0.69261,1.00729,0.54702,1.00335,0.00251908,0.000839694,0.00251908,0.000839694,0.00251908,0.000839694,0.00251908,0.000839694
39,355.414,1.1051,0.77241,1.06308,0.96666,0.97104,0.98024,0.69477,1.00429,0.53416,1.00506,0.00249708,0.000832361,0.00249708,0.000832361,0.00249708,0.000832361,0.00249708,0.000832361
40,364.317,1.10616,0.78081,1.07658,0.96879,0.97091,0.98129,0.6907,1.01591,0.53891,1.00974,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
41,373.258,1.06796,0.75416,1.05548,0.96507,0.97488,0.98236,0.69107,1.01751,0.53298,1.00862,0.00245309,0.000817696,0.00245309,0.000817696,0.00245309,0.000817696,0.00245309,0.000817696
42,382.232,1.08772,0.77139,1.06513,0.96594,0.97292,0.97947,0.68756,1.01049,0.53486,1.00592,0.00243109,0.000810363,0.00243109,0.000810363,0.00243109,0.000810363,0.00243109,0.000810363
43,391.166,1.08392,0.75369,1.05689,0.95441,0.9785,0.97513,0.69217,0.98761,0.53329,1.00239,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
44,400.099,1.08589,0.75048,1.06053,0.96435,0.9756,0.97574,0.69433,0.97236,0.52841,0.99582,0.00238709,0.000795698,0.00238709,0.000795698,0.00238709,0.000795698,0.00238709,0.000795698
45,409.079,1.07655,0.75253,1.06099,0.96423,0.96704,0.97965,0.70141,0.98331,0.52784,0.99419,0.0023651,0.000788366,0.0023651,0.000788366,0.0023651,0.000788366,0.0023651,0.000788366
46,418.011,1.06988,0.74928,1.0687,0.96402,0.97175,0.98111,0.70292,0.97572,0.52725,0.99983,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
