epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.521,1.09246,0.93614,1.08205,0.96635,0.90521,0.93836,0.6706,1.00496,0.64128,1.02043,0.0010949,0.000364966,0.0010949,0.000364966,0.0010949,0.000364966,0.0010949,0.000364966
2,23.352,1.05808,0.77874,1.06228,0.94661,0.94662,0.95982,0.68331,0.99812,0.5459,1.0118,0.00219134,0.000730447,0.00219134,0.000730447,0.00219134,0.000730447,0.00219134,0.000730447
3,34.23,1.03476,0.702,1.04033,0.95529,0.97115,0.98009,0.70488,0.98331,0.52796,0.99671,0.00327312,0.00109104,0.00327312,0.00109104,0.00327312,0.00109104,0.00327312,0.00109104
4,45.118,1.04615,0.69765,1.04635,0.97275,0.97935,0.98067,0.70699,0.9886,0.52394,0.98947,0.00326701,0.001089,0.00326701,0.001089,0.00326701,0.001089,0.00326701,0.001089
5,55.994,1.03923,0.69189,1.0387,0.97192,0.98128,0.9792,0.70153,0.99836,0.52011,0.99172,0.00324501,0.00108167,0.00324501,0.00108167,0.00324501,0.00108167,0.00324501,0.00108167
6,66.8805,1.03184,0.67711,1.03854,0.97056,0.97683,0.97519,0.69651,1.00093,0.52833,0.99046,0.00322301,0.00107434,0.00322301,0.00107434,0.00322301,0.00107434,0.00322301,0.00107434
7,78.0115,1.03914,0.6774,1.04031,0.97195,0.98276,0.98163,0.70149,0.99886,0.50627,0.99327,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067
8,90.8221,1.04681,0.67548,1.04317,0.96073,0.98053,0.98024,0.7074,0.97163,0.51861,0.989,0.00317902,0.00105967,0.00317902,0.00105967,0.00317902,0.00105967,0.00317902,0.00105967
9,102.041,1.02726,0.664,1.03042,0.97215,0.98052,0.97545,0.70206,0.99295,0.50743,0.98555,0.00315702,0.00105234,0.00315702,0.00105234,0.00315702,0.00105234,0.00315702,0.00105234
10,113.194,1.04116,0.66667,1.03312,0.97615,0.98298,0.97636,0.71287,0.98074,0.51527,0.984,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
