epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,168.966,1.20113,1.17273,1.1476,0.97688,0.98824,0.98351,0.66135,1.09423,0.84066,1.06677,0.00269506,0.000898355,0.00269506,0.000898355,0.00269506,0.000898355,0.00269506,0.000898355
31,174.436,1.19106,1.15851,1.13631,0.98138,0.98824,0.98743,0.66111,1.10284,0.81256,1.07728,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
32,179.909,1.17888,1.14185,1.13189,0.98433,0.98726,0.98594,0.65779,1.10878,0.81042,1.07546,0.00265107,0.000883689,0.00265107,0.000883689,0.00265107,0.000883689,0.00265107,0.000883689
33,185.395,1.1835,1.12497,1.12751,0.98253,0.98615,0.98437,0.66574,1.08974,0.81783,1.06685,0.00262907,0.000876357,0.00262907,0.000876357,0.00262907,0.000876357,0.00262907,0.000876357
34,190.991,1.19665,1.1264,1.12979,0.98053,0.98824,0.98202,0.65665,1.11185,0.81574,1.07187,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
35,196.469,1.20155,1.12803,1.13508,0.98221,0.98531,0.98363,0.66073,1.08857,0.81602,1.06645,0.00258507,0.000861692,0.00258507,0.000861692,0.00258507,0.000861692,0.00258507,0.000861692
36,201.963,1.20068,1.11532,1.12891,0.98468,0.98742,0.98469,0.66417,1.08121,0.7721,1.06543,0.00256308,0.000854359,0.00256308,0.000854359,0.00256308,0.000854359,0.00256308,0.000854359
37,207.453,1.18468,1.11182,1.12123,0.98291,0.98228,0.98537,0.66821,1.07524,0.78402,1.05993,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
38,212.944,1.18314,1.10172,1.12576,0.9804,0.98824,0.98717,0.67488,1.07211,0.78057,1.05612,0.00251908,0.000839694,0.00251908,0.000839694,0.00251908,0.000839694,0.00251908,0.000839694
39,218.445,1.17696,1.10692,1.13829,0.97879,0.98824,0.98897,0.67279,1.0727,0.75876,1.05553,0.00249708,0.000832361,0.00249708,0.000832361,0.00249708,0.000832361,0.00249708,0.000832361
