epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,16.095,1.27603,1.12203,1.24415,0.96115,0.84139,0.89908,0.57747,1.32679,0.94984,1.18059,0.00109777,0.000365925,0.00109777,0.000365925,0.00109777,0.000365925,0.00109777,0.000365925
2,29.435,1.25312,1.0385,1.23161,0.93725,0.88979,0.93775,0.59276,1.30395,0.74936,1.14245,0.0021942,0.000731399,0.0021942,0.000731399,0.0021942,0.000731399,0.0021942,0.000731399
3,43.329,1.185,0.88312,1.16424,0.96807,0.9095,0.96591,0.61487,1.26984,0.70013,1.09477,0.00327595,0.00109198,0.00327595,0.00109198,0.00327595,0.00109198,0.00327595,0.00109198
4,57.362,1.20734,0.88368,1.16526,0.95822,0.93084,0.97209,0.62059,1.22631,0.6438,1.06488,0.00326701,0.001089,0.00326701,0.001089,0.00326701,0.001089,0.00326701,0.001089
5,70.9229,1.2017,0.86715,1.16707,0.96956,0.93901,0.97459,0.61241,1.27714,0.66674,1.0825,0.00324501,0.00108167,0.00324501,0.00108167,0.00324501,0.00108167,0.00324501,0.00108167
6,84.1093,1.17665,0.8367,1.13525,0.96872,0.96526,0.98137,0.6418,1.19394,0.5948,1.04686,0.00322301,0.00107434,0.00322301,0.00107434,0.00322301,0.00107434,0.00322301,0.00107434
7,97.2193,1.14204,0.77912,1.11714,0.96262,0.96999,0.9816,0.62053,1.25625,0.58419,1.05597,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067
8,111.063,1.18784,0.80895,1.13921,0.96691,0.96858,0.98266,0.64381,1.19889,0.56721,1.0443,0.00317902,0.00105967,0.00317902,0.00105967,0.00317902,0.00105967,0.00317902,0.00105967
9,125.195,1.16299,0.80107,1.1227,0.9569,0.97259,0.97608,0.64975,1.14773,0.56695,1.02845,0.00315702,0.00105234,0.00315702,0.00105234,0.00315702,0.00105234,0.00315702,0.00105234
10,138.828,1.12057,0.7409,1.095,0.96945,0.98185,0.98118,0.63942,1.21695,0.55103,1.04384,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
11,153.047,1.15557,0.7583,1.11137,0.96429,0.97366,0.98185,0.64249,1.19781,0.54871,1.03756,0.00311302,0.00103767,0.00311302,0.00103767,0.00311302,0.00103767,0.00311302,0.00103767
12,166.89,1.15349,0.74553,1.09937,0.96814,0.97673,0.9834,0.6388,1.19177,0.53,1.03336,0.00309102,0.00103034,0.00309102,0.00103034,0.00309102,0.00103034,0.00309102,0.00103034
13,179.913,1.12213,0.73018,1.10426,0.96653,0.97802,0.98376,0.65096,1.18687,0.52075,1.03007,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
14,193.473,1.12798,0.74166,1.10333,0.96994,0.97724,0.98788,0.65287,1.15768,0.52036,1.0295,0.00304703,0.00101568,0.00304703,0.00101568,0.00304703,0.00101568,0.00304703,0.00101568
15,206.947,1.1482,0.74745,1.11863,0.97566,0.97625,0.9818,0.65724,1.14992,0.52346,1.02755,0.00302503,0.00100834,0.00302503,0.00100834,0.00302503,0.00100834,0.00302503,0.00100834
16,220.226,1.12203,0.75874,1.10677,0.97601,0.97012,0.98082,0.64032,1.19272,0.5677,1.03514,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
17,233.896,1.11277,0.73653,1.10164,0.9649,0.97869,0.98457,0.64323,1.19154,0.53332,1.03275,0.00298104,0.000993678,0.00298104,0.000993678,0.00298104,0.000993678,0.00298104,0.000993678
18,247.361,1.1116,0.71746,1.09036,0.95742,0.97759,0.98484,0.64814,1.16397,0.53729,1.03298,0.00295904,0.000986346,0.00295904,0.000986346,0.00295904,0.000986346,0.00295904,0.000986346
19,261.029,1.11213,0.71835,1.09021,0.97192,0.97732,0.98477,0.65497,1.16254,0.52042,1.02383,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
20,274.643,1.11623,0.70804,1.09162,0.97839,0.97465,0.98067,0.64665,1.20218,0.52328,1.02813,0.00291504,0.000971681,0.00291504,0.000971681,0.00291504,0.000971681,0.00291504,0.000971681
21,288.4,1.12194,0.70774,1.09131,0.98062,0.97911,0.98382,0.65913,1.16465,0.51447,1.01849,0.00289304,0.000964348,0.00289304,0.000964348,0.00289304,0.000964348,0.00289304,0.000964348
22,301.851,1.09717,0.68146,1.07757,0.97465,0.98361,0.98391,0.65018,1.18128,0.51473,1.02782,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
23,315.337,1.09488,0.69679,1.0833,0.98108,0.97855,0.9869,0.66142,1.17775,0.51856,1.0232,0.00284905,0.000949683,0.00284905,0.000949683,0.00284905,0.000949683,0.00284905,0.000949683
24,328.422,1.09882,0.70897,1.08419,0.97342,0.97203,0.97985,0.64258,1.21713,0.52183,1.0304,0.00282705,0.00094235,0.00282705,0.00094235,0.00282705,0.00094235,0.00282705,0.00094235
25,341.381,1.10453,0.68622,1.09333,0.97237,0.97457,0.98111,0.64563,1.19374,0.52672,1.03561,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
26,354.458,1.11596,0.71165,1.10252,0.97592,0.97753,0.98534,0.65945,1.1494,0.52048,1.02277,0.00278306,0.000927685,0.00278306,0.000927685,0.00278306,0.000927685,0.00278306,0.000927685
27,367.434,1.09412,0.68931,1.08232,0.98039,0.97997,0.9859,0.65529,1.16454,0.51174,1.02419,0.00276106,0.000920352,0.00276106,0.000920352,0.00276106,0.000920352,0.00276106,0.000920352
28,380.458,1.11561,0.70996,1.09139,0.97914,0.97861,0.98387,0.65804,1.14336,0.5095,1.016,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
29,393.422,1.09107,0.67947,1.07465,0.97294,0.97939,0.98351,0.6707,1.10972,0.51958,1.01714,0.00271706,0.000905687,0.00271706,0.000905687,0.00271706,0.000905687,0.00271706,0.000905687
30,406.46,1.10895,0.68388,1.0974,0.97438,0.97944,0.97992,0.66238,1.12485,0.51367,1.02052,0.00269506,0.000898355,0.00269506,0.000898355,0.00269506,0.000898355,0.00269506,0.000898355
31,419.388,1.09891,0.685,1.08029,0.97661,0.98029,0.98502,0.66281,1.1406,0.50636,1.01848,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
32,432.341,1.076,0.67015,1.07163,0.97828,0.97762,0.98676,0.6648,1.12589,0.50457,1.01255,0.00265107,0.000883689,0.00265107,0.000883689,0.00265107,0.000883689,0.00265107,0.000883689
